existinghospitalname,existinghospitallatitude,existinghospitallongitude,existinghospitalfixedcost,existinghospitalcapacity,potentialhospitalname,potentialhospitallatitude,potentialhospitallongitude,potentialhospitalcost,potentialhospitalcapacity,crashnumber,crashdateandtime,crashlatitude,crashlongitude,demand,pricepermile
,,,,,,,,,,234,10/10/2019 6:44:00 AM,35.8802493034846,-78.8246989620754,,
,,,,,,,,,,235,10/10/2019 6:30:00 AM,35.6391795857281,-78.5655586299896,,
,,,,,,,,,,236,10/9/2019 7:51:00 PM,35.8347429653846,-78.6405761648901,,
,,,,,,,,,,237,10/9/2019 6:52:00 PM,35.8114910845592,-78.6025108431206,,
,,,,,,,,,,238,10/9/2019 6:06:00 PM,35.7956839355331,-78.515228073328,,
,,,,,,,,,,239,10/9/2019 5:57:00 PM,35.8258252832642,-78.7530307699926,,
,,,,,,,,,,240,10/9/2019 4:05:00 PM,35.8616512714468,-78.8434184074402,,
,,,,,,,,,,241,10/9/2019 2:40:00 PM,35.731178885339,-78.6511509825475,,
,,,,,,,,,,242,10/9/2019 7:26:00 AM,35.8347838431938,-78.6394955215454,,
,,,,,,,,,,243,10/9/2019 6:52:00 AM,35.8711874407357,-78.7242327904632,,
,,,,,,,,,,244,10/9/2019 6:49:00 AM,35.8352915955985,-78.339317871386,,
,,,,,,,,,,245,10/9/2019 6:49:00 AM,35.8352915955985,-78.339317871386,,
,,,,,,,,,,246,10/8/2019 9:08:00 PM,35.7710418983162,-78.722094538918,,
,,,,,,,,,,247,10/8/2019 8:43:00 PM,35.7466933606192,-78.8966694653925,,
,,,,,,,,,,248,10/8/2019 7:10:00 PM,35.833962354573,-78.314802472699,,
,,,,,,,,,,249,10/8/2019 6:30:00 PM,35.7697054745726,-78.6144812797623,,
,,,,,,,,,,250,10/8/2019 4:11:00 PM,35.7730603277199,-78.5428647207967,,
,,,,,,,,,,251,10/8/2019 3:42:00 PM,35.7532979126178,-78.6870820522308,,
,,,,,,,,,,252,10/8/2019 12:23:00 PM,35.9709872149762,-78.5565242682083,,
,,,,,,,,,,253,10/8/2019 9:51:00 AM,35.6655768590588,-78.6992317139552,,
,,,,,,,,,,254,10/8/2019 9:02:00 AM,35.7847306091719,-78.7490610179901,,
,,,,,,,,,,255,10/8/2019 8:00:00 AM,35.8369436597787,-78.6647471426331,,
,,,,,,,,,,256,10/8/2019 7:30:00 AM,35.75753864215,-78.7238064823151,,
,,,,,,,,,,257,10/8/2019 7:26:00 AM,35.8999246754523,-78.61956289259,,
,,,,,,,,,,258,10/8/2019 7:06:00 AM,35.757242576985,-78.6627294026394,,
,,,,,,,,,,259,10/8/2019 6:56:00 AM,35.9877187124475,-78.6798433829052,,
,,,,,,,,,,260,10/8/2019 6:52:00 AM,35.9147696167995,-78.6816753492876,,
,,,,,,,,,,261,10/8/2019 6:39:00 AM,35.7665100766543,-78.7354161319733,,
,,,,,,,,,,262,10/8/2019 3:00:00 AM,36.0065917574741,-78.5265052365139,,
,,,,,,,,,,263,10/7/2019 10:04:00 PM,35.832964943917,-78.7665316911774,,
,,,,,,,,,,264,10/7/2019 5:10:00 PM,35.8225298441098,-78.747498405476,,
,,,,,,,,,,265,10/7/2019 4:43:00 PM,35.7613675964902,-78.7459971904755,,
,,,,,,,,,,266,10/7/2019 3:40:00 PM,35.8443728742447,-78.6803987577528,,
,,,,,,,,,,267,10/7/2019 3:21:00 PM,35.8050647180839,-78.7152972221375,,
,,,,,,,,,,268,10/7/2019 1:43:00 PM,35.728284031139,-78.5861334170621,,
,,,,,,,,,,269,10/7/2019 1:28:00 PM,35.8532440731736,-78.5581532331548,,
,,,,,,,,,,270,10/7/2019 10:20:00 AM,35.8323697957813,-78.7648308249545,,
,,,,,,,,,,271,10/7/2019 9:00:00 AM,35.7990846434523,-78.6462482923423,,
,,,,,,,,,,272,10/7/2019 8:44:00 AM,35.840421505965,-78.7817275009626,,
,,,,,,,,,,273,10/7/2019 8:39:00 AM,35.7278757446452,-78.5859688506872,,
,,,,,,,,,,274,10/7/2019 8:15:00 AM,35.83505542566,-78.6415446494438,,
,,,,,,,,,,275,10/7/2019 5:55:00 AM,35.6378252918248,-78.56572722999,,
,,,,,,,,,,276,10/6/2019 4:16:00 PM,35.9143520359323,-78.3833105626115,,
,,,,,,,,,,277,10/6/2019 2:57:00 PM,35.8052224297459,-78.4480893850327,,
,,,,,,,,,,278,10/5/2019 1:28:00 PM,35.8374263539785,-78.5808312416077,,
,,,,,,,,,,279,10/5/2019 6:58:00 AM,35.9126028741019,-78.7817573022489,,
,,,,,,,,,,280,10/5/2019 4:31:00 AM,35.7666764182065,-78.7356387696861,,
